"","police_id","n"
"1164","475590",9
"1165","475881",9
"1166","476103",16
"1167","476114",6
"1168","476328",8
"1169","476329",2
"1170","476330",15
"1171","476331",14
"1172","476332",17
"1173","480281",5
"1174","480282",11
"1175","480285",6
"1176","480286",9
"1177","480287",2
"1178","480289",14
"1179","483523",12
"1180","483524",5
"1181","483525",16
"1182","483526",9
"1183","483527",13
"1184","483528",4
"1185","483529",16
"1186","483844",2
"1187","485261",16
"1188","487509",2
"1189","493295",8
"1190","493296",17
"1191","493301",15
"1192","493302",11
"1193","493304",14
"1194","493305",17
"1195","493307",8
"1196","493309",12
"1197","493310",8
"1198","493312",7
"1199","493313",10
"1200","493314",10
"1201","493315",16
"1202","493316",10
"1203","493317",14
"1204","493318",6
"1205","498542",3
"1206","499699",8
"1207","524985",1
"1208","525538",13
"1209","527754",3
"1210","527755",14
"1211","527757",2
"1212","527865",1
"1213","529876",6
"1214","529877",17
"1215","529879",5
"1216","529882",4
"1217","529884",1
"1218","530853",9
"1219","538214",13
"1220","540482",5
"1221","544479",16
"1222","544480",1
"1223","544481",15
"1224","544482",13
"1225","545762",11
"1226","546003",16
"1227","546004",9
"1228","546005",1
"1229","546007",13
"1230","546008",14
"1231","546009",1
"1232","546011",5
"1233","546012",11
"1234","550403",6
"1235","551153",11
"1236","551154",5
"1237","551975",3
"1238","552411",4
"1239","553957",14
"1240","556885",7
"1241","556887",14
"1242","556888",16
"1243","556889",17
"1244","556891",16
"1245","562528",8
"1246","562529",16
"1247","562543",14
"1248","562544",5
"1249","562545",14
"1250","562549",7
"1251","562550",6
"1252","562932",13
"1253","565785",4
"1254","566293",12
"1255","566295",14
"1256","568074",5
"1257","568075",7
"1258","570082",6
"1259","570084",13
"1260","570085",15
"1261","571313",11
"1262","571315",14
"1263","571316",17
"1264","571318",6
"1265","571320",15
"1266","571321",9
"1267","571322",9
"1268","571324",14
"1269","571325",15
"1270","571328",10
"1271","571330",11
"1272","572248",15
"1273","572249",14
"1274","572250",6
"1275","572251",14
"1276","573550",14
"1277","576169",8
"1278","577002",9
"1279","577003",7
"1280","578769",13
"1281","580814",10
"1282","580815",4
"1283","580816",16
"1284","580818",9
"1285","580819",14
"1286","580820",9
"1287","580821",8
"1288","582657",4
"1289","584947",11
"1290","585220",5
"1291","588969",2
"1292","591933",17
"1293","591934",9
"1294","591935",6
"1295","591936",15
"1296","591937",4
"1297","592451",3
"1298","594470",6
"1299","594471",5
"1300","594473",14
"1301","595276",15
"1302","596374",10
"1303","596376",4
"1304","596377",4
"1305","596378",8
"1306","596384",14
"1307","596385",10
"1308","596386",5
"1309","596388",8
"1310","596389",13
"1311","596390",7
"1312","596392",7
"1313","596395",1
"1314","596396",7
"1315","596397",11
"1316","596398",5
"1317","596399",7
"1318","596400",4
"1319","602993",15
"1320","607047",14
"1321","607049",14
"1322","607050",14
"1323","607051",5
"1324","607052",11
"1325","608786",13
"1326","608787",8
"1327","608788",10
"1328","608790",15
"1329","608791",10
"1330","609252",2
"1331","613656",5
"1332","617350",14
"1333","617352",12
"1334","617353",13
"1335","617354",16
"1336","617356",5
"1337","619409",7
"1338","620054",6
"1339","620056",10
"1340","620057",12
"1341","620059",9
"1342","620060",8
"1343","620061",13
"1344","620062",15
"1345","620063",10
"1346","620064",2
"1347","620066",14
"1348","620067",15
"1349","620069",16
"1350","620072",14
"1351","620073",10
"1352","620074",6
"1353","620080",6
"1354","620081",9
"1355","620082",17
"1356","623456",6
"1357","625142",7
"1358","628638",10
"1359","628639",5
"1360","628640",14
"1361","630566",15
"1362","630624",13
"1363","630626",7
"1364","630627",14
"1365","630628",5
"1366","632449",5
"1367","633367",14
"1368","633368",6
"1369","633370",13
"1370","633371",8
"1371","633372",13
"1372","633373",12
"1373","633374",8
"1374","633375",4
"1375","633376",2
"1376","633378",14
"1377","633379",15
"1378","633380",13
"1379","633381",16
"1380","633383",15
"1381","633384",6
"1382","633385",15
"1383","633387",7
"1384","633388",7
"1385","633389",10
"1386","633390",15
"1387","633391",14
"1388","633392",11
"1389","633393",5
"1390","633519",13
"1391","635484",13
"1392","642287",3
"1393","643208",12
"1394","646690",4
"1395","646691",6
"1396","648796",14
"1397","648797",15
"1398","648798",4
"1399","648799",5
"1400","648800",9
"1401","651077",4
"1402","651078",16
"1403","651079",8
"1404","651081",10
"1405","653629",16
"1406","653630",15
"1407","653631",5
"1408","653633",8
"1409","653634",6
"1410","653637",5
"1411","653643",5
"1412","660929",7
"1413","661312",4
"1414","661313",1
"1415","664196",12
"1416","665894",8
"1417","665896",14
"1418","665899",9
"1419","668411",14
"1420","668412",14
"1421","668413",3
"1422","668414",13
"1423","668415",14
"1424","668418",7
"1425","668419",4
"1426","668420",2
"1427","668421",13
"1428","668422",10
"1429","672460",15
"1430","674297",8
"1431","674298",14
"1432","674301",12
"1433","676823",5
"1434","676824",9
"1435","676825",10
"1436","676827",14
"1437","676828",13
"1438","676829",15
"1439","676831",12
"1440","676832",15
"1441","676833",8
"1442","676834",13
"1443","676835",6
"1444","676836",8
"1445","676838",13
"1446","685924",13
"1447","687809",9
"1448","687811",14
"1449","687812",11
"1450","687815",5
"1451","687816",9
"1452","687819",6
"1453","687820",9
"1454","687821",5
"1455","687822",12
"1456","690942",13
"1457","690945",13
"1458","693093",15
"1459","693094",8
"1460","693095",5
"1461","693097",8
"1462","693098",15
"1463","693099",15
"1464","693102",14
"1465","693105",11
"1466","693106",12
"1467","714625",1
"1468","714626",8
"1469","714629",3
"1470","714630",1
"1471","714631",5
"1472","714632",3
"1473","714633",10
"1474","714634",9
"1475","714635",11
"1476","714636",5
"1477","714637",4
"1478","714638",5
"1479","714640",6
"1480","714641",10
"1481","714643",11
"1482","714644",8
"1483","714646",5
"1484","714647",6
"1485","714648",9
"1486","716875",11
"1487","716877",7
"1488","716879",9
"1489","716883",9
"1490","716884",7
"1491","716886",10
"1492","716887",9
"1493","716889",10
"1494","716890",5
"1495","716891",10
"1496","716893",7
"1497","716894",11
"1498","716896",9
"1499","716897",10
"1500","717341",1
"1501","717625",10
"1502","717708",10
"1503","722033",9
"1504","723077",7
"1505","723079",8
"1506","723488",10
"1507","725755",10
"1508","725756",10
"1509","725758",8
"1510","725759",10
"1511","725774",9
"1512","727198",12
"1513","727199",10
"1514","727201",2
"1515","727202",12
"1516","727203",11
"1517","727204",9
"1518","727205",7
"1519","727208",5
"1520","727209",1
"1521","727211",9
"1522","727212",8
"1523","727213",8
"1524","727215",10
"1525","728059",10
"1526","728060",9
"1527","728062",6
"1528","728065",10
"1529","728066",10
"1530","728067",3
"1531","728069",5
"1532","728070",6
"1533","728072",5
"1534","728073",5
"1535","728076",9
"1536","747556",9
"1537","747559",9
"1538","752065",10
"1539","752066",10
"1540","755025",5
"1541","755026",11
"1542","755027",10
"1543","755029",4
"1544","759682",6
"1545","759683",7
"1546","759684",6
"1547","769126",8
"1548","769379",11
"1549","769382",10
"1550","769383",11
"1551","769384",5
"1552","769387",8
"1553","769389",10
"1554","769390",1
"1555","769391",9
"1556","774758",10
"1557","799013",11
"1558","799016",9
"1559","802993",7
"1560","802994",7
"1561","807314",2
"1562","807316",8
"1563","807318",4
"1564","807319",3
"1565","807320",9
"1566","807322",9
"1567","807325",8
"1568","807326",11
"1569","807328",11
"1570","807329",10
"1571","807332",6
"1572","807333",7
"1573","807335",10
"1574","807336",9
"1575","807338",5
"1576","807340",8
"1577","807341",6
"1578","807342",8
"1579","807343",4
"1580","807344",10
"1581","807927",9
"1582","812949",8
"1583","823493",3
"1584","824607",3
"1585","824608",10
"1586","824609",6
"1587","824610",10
"1588","824611",6
"1589","828312",8
"1590","828314",11
"1591","834797",3
"1592","834798",10
"1593","834800",11
"1594","834801",1
"1595","834802",4
"1596","834803",10
"1597","834804",10
"1598","834805",4
"1599","834806",5
"1600","834807",9
"1601","834808",5
"1602","834809",2
"1603","834813",6
"1604","834816",2
"1605","834817",10
"1606","834818",7
"1607","834819",8
"1608","834820",7
"1609","834821",7
"1610","834822",1
"1611","834824",7
"1612","837575",5
"1613","839052",6
"1614","839053",7
"1615","839054",3
"1616","842254",5
"1617","850642",6
"1618","853669",2
"1619","858545",6
"1620","858695",9
"1621","861199",5
"1622","861201",8
"1623","861202",8
"1624","870647",7
"1625","870648",8
"1626","870650",1
"1627","876568",5
"1628","876569",7
"1629","876570",6
"1630","876571",7
"1631","876572",2
"1632","876573",8
"1633","876575",9
"1634","876576",9
"1635","876577",8
"1636","876578",4
"1637","876579",8
"1638","876581",7
"1639","876582",7
"1640","876583",1
"1641","876584",9
"1642","876585",2
"1643","876587",7
"1644","876588",4
"1645","876589",6
"1646","876590",9
"1647","876591",8
"1648","876592",6
"1649","876594",5
"1650","876597",8
"1651","876599",9
"1652","876600",9
"1653","876602",4
"1654","876603",4
"1655","879555",6
"1656","879558",6
"1657","882915",4
"1658","887581",5
"1659","887582",6
"1660","887583",7
